,Имя,Комментарий,Дата,Оценка
81,Вячеслав,"Записался в эту клинику почитав отзывы в интернете. Мне необходимо было поставить коронки на два зуба, как-то не хотелось рисковать в государственных поликлиниках с этим, поэтому начитавшись отзывов пришел в Ю-Клиник. Правду пишут люди, хвалят Александра Николаевича не зря. Сотрудничать с этой клиникой одно удовольствие. Спасибо. Я доволен!",14 ноября 2018,5
82,Евстратова Ирина Борисовна,"Здравствуйте! Хочу порекомендовать эту клинику всем. Здесь работает замечательный внимательный персонал и квалифицированные врачи. Была на приеме у Александра Николаевича, он мне ставил коронки, а перед этим зубы мне для коронок подготовила Поддубная Ольга Владимировна. Все очень оперативно, все специалисты на месте,всегда подбирают для вас удобное время. Однозначно всем советую!",12 ноября 2018,5
83,Аня и Юля,"Классная клиника! Были с подругой на консультации у ортодонта, хотим поставить брекеты. Первое, что конечно поразило это сам интерьер, все Очень красиво и чисто. Врач просто супер, нерусский, но очень хорошо говорит хоть немного и с акцентом. Мне в первый же прием сняли слепки для брекетов, и у же на следующей недели поставят. Я очень довольна. Подружке нужно для начала удалить зубы мудрости, сразу же назначили на ближайшую запись к хирургу в этой же клинике, говорят у них хирург тоже классный. Короче мы очень довольны, теперь мы у вас частые гости будем!))",3 ноября 2018,5
84,Надюша,"Я хочу выразить благодарность Медведев Николай Леонидович очень хороший врач, я У него была на приеме на крестьянской и он мне вырывал зуб мудрость, я очень боялась и он меня обадрил, вырвал без болезненно, хороший врач мне нравится что он внимательный, встречает поциентов с улыбкой и быстро принимает, спасибо огромное Медведев Николай Леонидович вы супер стоматолог. Я не была в этой поликлинике тепер буду знать и буду обязательно посещать эту поликлинику.",1 ноября 2018,5
85,,"Эта клиника изменила стереотипы о стоматологах. Наконец-то в Гомеле мы нашли стоматологию, куда не страшно идти. Хочется похвалить всех,Ю-КЛИНИК.Вы молодцы. На консультации врач ответил на все мои вопросы, все рассказал. Потом полечили зубы мне и дочери. Очень понравилось. Комфортно и безболезненно. После лечения для детей приятные сюрпризы. Теперь записали папу. Рекомендую.",30 октября 2018,5
86,Maria Lyk@89,"Замечательная клиника! Были на консультации с ребенком, приятный молодой доктор провел полный осмотр, дал рекомендации по уходу за зубами ребенку. Ребенок и я остались очень довольны. Не часто дети так быстро идут на контакт с докторами. В целом вся обстановка клиники располагает, есть небольшой детский уголок, что тоже не мало важно. При мне мамочка была на лечении, а ее ребенок там играл, причем весь персонал клиники очень внимательно к этом относится, за ребенком приглядывали! Я считаю, это огромный  плюс!!! Желаю успехов и процветания этой клиники! Теперь только к вам!",30 октября 2018,5
87,Масловская Надежда,"Очень хорошая клиника! Замечательный и внимательный персонал, о приеме всегда заранее предупреждают. Я удаляла зуб мудрости, все прошло без каких-либо осложнений, результатом очень довольна! Тем не менее администраторы и сам хирург лично несколько раз звонили, интересовались моим самочувствием и предлагали прием на осмотр. Не в каждой клинике так беспокоятся о своих пациентах. Очень признательна всем специалистам за чуткость, отзывчивость, клиентоориентированность!",26 октября 2018,5
88,Ирина,Отвратительная клиника. 15.09.2018 поставили пломбу 25 октября она выпала. Мало того оставили в зубе вату. При этом заплатила 60 рублей. Это такое начало работы. Ужас.,25 октября 2018,3
89,Наталья,"Добрый день! Хотела бы поделится своими впечатлениями о клинике. Изначально, что бросается в глаза, это ухоженность, стиль и чистота. Видно сразу, что здесь работают люди добросовестные и внимательные к каждой детали. Вас встречает приветливый администратор, в кабинет проводит медсестра, усаживают в кресло.   Я обратилась с огромной проблемой, уже давно отсутствует достаточное количество зубов, в свое время боялась лечить, да и как раньше лечили - страшно вспомнить. Консультацию мне проводил просто замечательные врач Александр Николаевич, подробно рассказал и объяснил все аспекты лечения и протезирования, предложил несколько вариантов в  разной ценовой категории. Его уверенность, профессианолизм и компетентность позволило мне полностью доверится этому специалисту. Теперь я обладательница прекрасных, здоровых зубов, без боли и дискомфорта. Спасибо клинике и докторам!",25 октября 2018,5
90,Алина,"Была на приеме с ребенком 2 года, очень приятный внимательный доктор. Ребенок у меня не очень контактный, много капризничал, но доктор все таки смог провести осмотр и консультацию. Очень понравился подход персонала клиники к детям. Есть детский уголок, дарят подарочки. Очень приятно. Обязательно будет ходить сюда на регулярные осмотры!",23 октября 2018,5
91,Галина,"Очень хорошая клиника, новая, стильная, современная. Работает прекрасный персонал и замечательные врачи. Отдельное спасибо Александру Николаевичу, коронки стоят как родные зубы, и никак, самое главное, не беспокоят!",18 октября 2018,5
92,Ирина,"Очень хороша стоматология. Очень уютно и комфортно для посещения. Врачи профессионалы своего дела. Цены приемлемые. Особую благодарность хочу выразить доктору Ольге Владимировне , за то, что она делает свою работу быстро и качественно. Все пломбы, которые она мне поставила и полечила каналы никак не беспокоят, и зубки как новые! Спасибо!",12 октября 2018,5
93,Валентина Николаевна,"Спасибо Медведеву Николаю Леонидовичу за его профессионализм и аккуратность в работе! Мне во второй раз в жизни удаляли зуб, в первый раз в другой клинике остался очень негативный опыт. Поэтому в этот раз на прием я шла с огромным страхом. Доктор понял мой страх, побеседовал со мной, приободрил, сделал анестезию, дал время на то, чтобы она полностью подействовала и только тогда принялся за работу. Зуб он удалил как по-моему идеально, я ничего не почувствовала, не повредил десну, не оставил осколков. Десна зажила у меня без каких-либо нюансов. Я признательна врачу за чисто проделанную работу.",1 октября 2018,5
94,Лиза,"Попала на прием к доктору с непростым случаем, раскололся зуб, мне был предложен подробный план лечения. Работа еще не закончена, но я уже довольна подходом к проблеме и процессом лечения. Хочу заметить, что у доктора очень лёгкая рука и при этом чувствуется профессианолизм  уже с момента консультации. Для тех, кто все еще в поисках своего идеального стоматолога, могу смело рекомендовать - Карпачев В.В.",29 сентября 2018,5
95,Марина,"Давно здесь лечим зубы, это можно сказать наша семейная клиника. Нравится что всегда всё по времени, быстро, о приеме заранее звонят, предупреждают и напоминают. Как-то так вышло, что у нас с супругом разные врачи-терапевты, но результат всегда одинаковый, без боли, без проблем! Врачи молодцы, нашли подход даже к детям, а у нас ребенок 6 лет и всегда очень боится идти на прием, море слёз. Но в этой клинике с первого приема сел в кресло, беседовал с доктором и в итоге моё присутствие даже не понадобилось, я со спокойной душой ожидала в коридоре. Ребёнок доволен, совсем ничего не почувствовал, теперь спрашивает, когда в следующий раз пойдём. Однозначно советуем обращаться в эту клинику как взрослым, так и детям!",28 сентября 2018,5
96,Ольга,"Отличная клиника, с прекрасным персоналом и квалифицированными врачами! Очень довольна результатом лечения и протезирования!",24 сентября 2018,5
97,Людмила,"Здравствуйте! До этой клиники обращалась к многим стоматологам, все варианты протезирования или финансово не устраивали, или эстетически пугало. Потом моя знакомая посоветовала мне обратиться в Ю-КЛИНИК к хирургу Медведеву. Попала на консультацию без каких либо проблем и поняла, что этому врачу готова довериться полностью. Осталась очень довольна! Он поставил мне импланты, процедура абсолютно безболезненная, процесс заживления я вообще не почувствовала. Теперь осталось дождаться следующего этапы, установки коронок. Буду сотрудничать только с этой клиникой! Спасибо вам огромное, что вы есть у нас в Гомеле!",21 сентября 2018,5
98,Алина,"Эту клинику мне посоветовала моя коллега по работе. Она там давно обслуживалась и всегда делилась приятными впечатлениями. Я записалась на профессиональную чистку зубов и была приятна удивлена ценами, в этой клиники все лето действует скидка 50% на данную процедуру. Хочу выразить отдельную благодарность Жлобе Татьяне Николаевне, которая очень трепетно и качественно провела мне чистку, такого результата я даже не ожидала! Спасибо вам огромное! Теперь и я буду всем советовать вашу клинику!",20 сентября 2018,5
99,Виктория,"Добрый день всем. О Ю - Клиник узнала из интернета. При посещении приятно видеть приветливую улыбку персонала, для детишек обустроена игровая комната. Царит доверительное отношение. Стерильная чистота и европейский уровень обслуживания. В клинике ставила имплант . Врач-хирург имплантолог Медведев Николай Леонидович объяснил все этапы ""процедуры"" , дал дельные рекомендации. Всё прошло быстро и безболезненно. Врач Медведев Н.Л. - истинный профессионал, заслуживающий уважения. Я нашла свою стоматологическую клинику!  Ю - Клиник - это Ваша клиника! Рекомендую.",26 июня 2018,5
