,Имя,Комментарий,Дата,Оценка
128,Екатерина,"Здравствуйте, обратилась в Ваш центр в первый раз. Позвонила, объяснила ситуацию( мне нужно было срочно удалить зуб мудрости). Регистратор по телефону сказала,что удаление можно будет провести сегодня, только перед этим необходимо будет проконсультироваться у врача, так как я в первый раз. Время было 11 часов,мне предложили на 13:00. В 12:30 я уже была в клинике. В регистратуре у меня спросили почему я обратилась,  я сказала,что мне необходимо удалить зуб мудрости и, как полагается, консультация перед этим. На что мне сразу же сказали,что удалять зуб мне сегодня никто не будет, максимум-это консультация. До время приёма оставалось 20 минут, меня отправили ожидать.  Ожидание моё продлилось до 13:20, мне сказали,что необходимо подождать минуточек 10. До 13:45 тишина. Я решила,что больше ждать бессмысленно. Я подошла спросить фамилию врача,на что мне ответили,что врач может оперировать 3 или 4 часа, а пациент должен подождать. У меня вопрос, зачем было записывать меня?",3 января 2022,1
129,Наталья,"Выражаю огромную благодарность за высокий профессионализм в работе по имплантации, протезированию и лечению зубов Юрковцу Александру Николаевичу, Медведеву Николаю Леонидовичу, Шараю Павлу Александровичу. Уже второй год подряд,мы с мужем, являемся пациентами клиники. Всегда от посещения получаем только позитив, выражающийся в вежливом обращение как врачей, так и сотрудников клиники, а также лучезарную улыбку на нашем лице при выходе из кабинета доктора. Перед началом исполнения медицинских протоколов Александр Николаевич, Николай Леонидович, Павел Александрович всегда с начало  рассказывают ход имплантации, протезирования или лечения зубов, а затем приступают к работе. Всё проходит безболезненно, в приятной атмосфере общения с доктором и музыкальном сопровождении, которое звучит в каждом кабинете клиники. Рекомендуем Ю-Клиник всем!!!       
   Поздравляем Александра Николаевича, Николая Леонидовича, Павла Александровича , также всех работников Ю-Клиник с Новым годом и Рождеством!",29 декабря 2021,5
130,Даша,Очень довольна качеством выполняемой работы!,27 декабря 2021,5
131,Анастасия,"Хочу выразить огромную благодарность  Медведеву Николаю Леонидовичу . Такого результата я не ожидала. Долго решалась на имплантацию, но попав в руки к Николаю Леонидовичу  чувствуешь что попала к профессионалу. Работа выполнена идеально, быстро и качествено, без какой либо боли и стресса. Как и обещал доктор, на следующий день ничего не опухло и не болит.На любой вопрос всегда есть точный ответ. СБАСИБО ВАМ ОГРОМНОЕ! Пусть в ваш адрес звучат только искренние благодарности и счастливые улыбки.",23 декабря 2021,5
132,Александр,"Очень благодарен Дворонину Максиму Арсеньевичу, за быстро и качественно выполненное удаление зуба ( того, что от него осталось ). Максимально развернуто ответил на все интересующие вопросы, успокоил. Крайне позитивный подход к своей работе в целом, это здорово.
Такого уважительного отношения к клиенту, я не видел больше ни в одной клинике. Остался доволен. Ю-Клиник молодцы",21 декабря 2021,5
133,Аделина,"Огромное спасибо Дворонину М.А за поддержку!!! Позволил держать ему руку, когда мне вырывали зуб мудрости. У Вас прекрасное чувство юмора, надеюсь своих следов на Вашей руке я не оставила))) меня окружили вниманием и заботой. Вы лучшие!!!  Удачи Вам в работе и прекрасных клиентов. С уважением к Вам, Аделина",9 декабря 2021,5
134,Аделина,"Огромное спасибо Медведеву Н.Л. профессионал с большой буквы. Вырвал зуб мудрости, поддерживал словами меня боязливую пациентку. Он просто умничка. Прекрасное отношение. Удачи Вам в работе и прекрасных клиентов. С уважением к Вам, Аделина",9 декабря 2021,5
135,Анна,"Лечила зуб у  Светланы Ивановны. Работа была с каналами. Все 40 минут выслушивала о том, какое у них новейшее оборудование и какими крутыми аппаратами они работают, нигде таких нет. Ещё тогда про себя подумала, что всё дело в руках врача. В итоге, за первую процедуру -210 рублей, через две недели - 220 рублей (и это меня ещё она уговаривала на постоянную пломбу сразу, аргументируя тем что она обязательна нужна), хорошо что у меня хватило ума сначала походить с временной, посмотреть как поведёт себя зуб, тк постоянная пломба это ещё -100р. В итоге 10 дней адской боли и обезболивания. Пришла к врачу, на что она мне выписала антибиотик это -25р. Ничего не помогло. Пришла к хирургу через день, его вердикт «так надо было сразу удалять, зачем антибиотик?» а врач при виде меня просто отвела глаза, даже не поздоровавшись) в итоге удаление ещё -80р. Показала снимок удаленного зуба(на снимке он ещё на месте) ещё двоим другим врачам, они сказали не нужно было в него лезть вообще",24 ноября 2021,1
136,Татьяна,"Хочу поблагодарить Ольгу Владимировну за ее чуткость и профессионализм. У нее очень легкие и добрые руки, работы с зубами было много, и выполнена она идеально! Рекомендую всем как прекрасного специалиста и приятного человека!Спасибо!",5 ноября 2021,5
137,Наталья,"Хочу выразить огромную признательность и благодарность замечательным врачам Москалевой Елене Леонидовне и Медведеву Николаю Леонидовичу !Елена Леонидовна очень вежливо, мягко , но настойчиво убедила меня в необходимости принятия единственно правильного решения по протезированию-имплантации.А Николай Леонидович провёл имплантацию, как я понимаю, ""ювелирно"", так как все было очень сложно.С ними очень спокойно, комфортно, эти чудесные люди и высокие профессионалы своего дела вызывают огромное уважение и доверие. Ещё раз большое спасибо!",14 октября 2021,5
138,Василий,"Просто очень хорошие доктора, прекрасные люди, помогают справиться с тревогой, объясняя абсолютно все, даже то, что Вы можете почувствовать. Если что-то не могут, так и говорят честно, открыто и еще скажут где и кто сможет помочь. Это очень ценно и заслуживает большого уважения. Удаление нескольких зубов, включая распиливание зуба мудрости, доктор выполнил просто с максимальной заботой обо мне. Было не больно. Поэтому, смело идите в Ю-Клиник - там профессионалы и хорошие люди.",1 октября 2021,5
139,Виктория,"Благодарю за ваш труд, за такую замечательную, современную клинику и ее коллектив. И персональное спасибо врачу Елене Леонидовне Москалёвой. Как ей удалось меня расслабить (я очень-очень-очень боюсь любых стоматологических процедур – до дрожи в ногах), для меня осталось загадкой. Все было без боли, спокойно и комфортно. Комфортно – это, пожалуй, главное, что можно сказать про атмосферу в клинике. И про интерьер, что тоже весьма важно. Словом, здесь, как в кино. Про какую-то другую действительность. Это первое впечатление от посещения Ю-клиник. Последующие такие же. Здесь пациент – самая важная персона и все крутится вокруг него. Такое ощущение, что как только ты записался на прием, клиника берет на себя ответственность за твое лечение. Начиная от СМС-напоминаниях о записи, звонке за сутки и повторном СМС за час до приема до самого визита к врачу с консультациями, рентгеном, лечением. Ваша клиника – это высший пилотаж!",26 августа 2021,5
140,Заяц Светлана,"Вчера делала в этой клинике шинирование! К сожалению,не запомнила ФИО врача,но он просто бог реставрации зубов!Работа сделана на отлично,я получила максимум удовольствия и комфорта (профессионализм,сервис,отношение к клиенту)! Большое спасибо! Рекомендую!",13 июля 2021,5
141,Ксения,"Лечила первичный кариес зуба. После оставленного мной негативного отзыва по телефону 07.06.21, я получила 09.06.21 звонок от врача о том, что ей не передали моих жалоб в день обращения, при том, что я получила обратный звонок 07.06.21 от работника регистратуры после ее узнавания у врача  названия препарата для анестезии. На жалобу о действии анестезии сохранившейся около четырёх часов врач ответила: ""Действии может длиться и до восьми часов- это ваша индивидуальная особенность"". На жалобу о размещении на моей грудной клетки инструмента врач сказал: ""Может салфетка какая"". Также я получили  плохие рекомендации по удалению зуба мудрости.
К сожалению,  работа сотрудников не соответствует дороговизне лечения и современности интерьера клиники.
Не рекомендую.",9 июня 2021,1
142,Юлия,"Хочу поблагодарить клинику за помощь и отзывчивость всего персонала, от встречающего тебя административного персонала до профессиональных врачей, готовых прийти на помощь в любых ситуациях!",13 мая 2021,5
143,ЛюбовьКоганОзерная,"Доброго времени суток!
Хотелось бы оставить отзыв о профессионале своего дела,
Дворонин Максим Арсеньевич это врач, которому дано от Бога удалять тяжёлые зубы.
Мой младший сын, приехал из Москвы, поступил в ГГМУ, в ноябре 2020 года сына начали беспокоить зубы мудрости и не просто беспокоить ,а болели так, что нереально спать, обратились в одну клинику, удалили верхние зубы мудрости, все прошло, но, когда пришло время удалять нижние, врачи массово, глянув на рентген начали отказываться, говорить это опасно.
Так вот, московский врач посоветовал обратиться к данному доктору, сказав, что он лучший в Гомеле и чуть ли не фанат своей работы, с сыном отправились в ЮКлиник, заключили договор и доктор Доронин взялся за работу. Удалив тяжелый нижний зуб мудрости, он и правда тяжелый,1,5 час в кресле у доктора, 4 дня температуры, корни глубокие, но доктор справился, спасибо.",3 мая 2021,5
144,Владимир и Наталья,"Выражаем огромную благодарность высококвалифицированному коллективу докторов, медсестер, обслуживающему персоналу Ю-клиник, во главе с руководителем Юрковцом Александром Николаевичем, за их профессионализм в работе ""с большой буквы"". В клинике очень хорошая, благодатная атмосфера и аура начиная со входа. Приходили после работы как в СПА-салон, отдыхали,получали удовольствие и пользу для здоровья в виде лучезарной улыбки! Нам посчастливилось проходить лечение у Карпачева Вячеслава Владимировича и у Шарая Павла Александровича, установку имплантов и удаление зубов у Медведева Николая Леонидовича, профессиональную чистку зубов у Шарая Павла Александровича. Благодарны им за внимательное отношение, кропотливую работу, подбадривание во время процедур. Процедуры были безболезненны и комфортны. Отдельная благодарность Юрковцу Александру Николаевичу за его профессионализм по установке коронок,а также за грамотно подобранную команду единомышленников. Клинику рекомендуем всем!!!",28 апреля 2021,5
145,Наталья Сергеевна,"Выражаю огромную благодарность Карпачёву Вячеслав Владимировичу за высокий за высокий профессионализм в работе: качество , эстетику , культурное обслуживание.

       На протяжении многих лет этот врач лечит зубы всем членам моей семьи и каждый раз, попадая к нему на прием мы как всегда восхищаемся работой этого замечательного доктора.

     Спасибо ему огромное .",12 апреля 2021,5
146,Дмитрий,"Невероятно приятная атмосфера и персонал, приходили с сыном на лечение ,он освободился раньше и пока меня ожидал, ему предложили очки виртуальной реальности, он остался в большом восторге от вашей клиники. Так же всё было безболезненно, пломб даже не видно, очень понравилось здесь. Спасибо за заботу о пациентах! Рекомендую!",19 марта 2021,5
147,Людмила,"Всей семьёй ходим только в Ю-Клиник , самые лучшие профессионалы, дети доверяют только Силиной Алле Валерьевне ,очень приятный доктор, всегда находит общий язык с детками и всегда безболезненно и качественно!",19 марта 2021,5
148,Екатерина,"Спасибо доктору Тен Кристине Сергеевне , устанавливала виниры, очень довольна результатом, даже и не думала, что на столько шикарно всё получится. Тысячу раз СПАСИБО!",19 марта 2021,5
149,Стефания,"Самое лучшее место, где я была. Всё сделано с такой любовью к каждой мелочи, очень уютно, вплоть до шикарного запаха в клинике и вкусного кофе, которым угощают администраторы. Была на СПА уходе за зубами, т.к. это так же не маловажная процедура по уходу за любимой улыбкой. Очень довольна и отдохнула и какую пользу принесло.",17 марта 2021,5
150,Елена,"Вчера откололся передний зуб, я очень переживала, так как у меня в выходные День Рождения, а с такой улыбкой стыдно выйти из дома. Но ваши администраторы и врачи, нашли срочно окошко для меня и связались со мной предложив подъехать сегодня. Сейчас я уже с красивой улыбкой и большой благодарностью к вашему стоматологическому центру. Спасибо, за ваше внимание к каждому пациенту и за отличное настроение перед праздником!",17 марта 2021,5
151,София,"В Ю-Клиник самый качественный сервис! Приезжаем из Минска, потому что доверяем только вам! Очень нравиться ваше отношение к пациентам как к очень важным гостям. Всегда окружены вниманием и профессионалами. Лечение всегда безболезненное и качественное, не нужно ездить и переделывать. Рекомендую только вас всегда.",17 марта 2021,5
152,Тамара,"Хочу выразить большую благодарность доктору Медведеву Николаю Леонидовичу, удалил уже мой 3й зуб мудрости, доверяю только ему.
После приёма не появляется никаких вопросов, всегда всё заживает очень быстро и не беспокоит. Спасибо вам большое!!!",17 марта 2021,5
153,Ирина,"Очень комфортная атмосфера, всегда всё чистенько, уютно. Администраторы доброжелательны и всегда улыбчивы, приятно к вам приходить. Приходила сегодня на профессиональную чистку, осталась очень довольна результатом.",17 марта 2021,5
154,Нина,"Спасибо вашем докторам и медсёстрам, настоящая командная работа. Удалили мои 8 ,будто их и не бывало, очень слаженная и профессиональная работа. Само удаление прошло безболезненно, доктор поднимал настроение и подбадривал. Всё прошло хорошо, спасибо.",17 марта 2021,5
155,Олеся,"Здесь встретила только настоящих профессионалов. Спасают зубы, которые уже не спаси и удаляют 8,за которые не берутся нигде. Уже не первый год с вами и всем рекомендую.",17 марта 2021,5
156,Алексей,"Спасибо большое Поддубной Ольге Владимировне за супер белое отбеливание моих зубов. Немного боялся, но, как оказалось, зря! Советую всем: если хотите белоснежную улыбку",17 марта 2021,5
157,Алена,"Хочу выразить благодарность Дворонину Максиму Арсеньевичу! Давно искала такого квалифицированного хирурга!
Безболезненное удаление и всегда улыбающийся грамотный врач покорили меня!
Спасибо Вам, Максим Арсеньевич!",17 марта 2021,5
158,Светлана,"Обратилась в Ю-клиник так как откололся кусочек переднего зуба. Зуб мой сделали без боли, очень быстро! Выражаю огромнейшую благодарность Шараю Павлу Александровичу! Теперь я снова улыбаюсь и не стесняюсь своей улыбки!",17 марта 2021,5
159,Елена,"Шикарная стоматология Ю -клиник, отличные врачи, приятное отношение. Нравится напоминалка через СМС и администраторы всегда за день звонят и напоминают время приема. Всем всегда рекомендую Ю- клиник, как лучшая стоматология.",17 марта 2021,5
160,Ксения,"Лечила передний зуб Седляровой Елены Николаевны, осталась очень довольна. Всё сделано аккуратно и красиво. Обязательно буду приходить на лечение в Ю-клиник",17 марта 2021,5
161,Валерия,"Благодарю моего любимого врача Елену Николаевну за спасение зубов, была проведена сложная, кропотливая работа по перелечиванию некорректно полеченых в поликлинике зубов. Спасибо вам больше. Каждый день радуюсь результатам.",15 марта 2021,5
162,Яна,"Очень болел зуб, записалась на приём в Ю-КЛИНИК. Попала на приём к Ковалевой С Н. Очень отзывчивый врач, душевный человек. Всё объяснила и полечила. Зуб больше не болит. Теперь буду лечить вовремя.",15 марта 2021,5
163,Вероника,"Спасибо стоматологам Ю-КЛИНИК, пролечили мне все зубы от кариеса до восстановления практически полностью разрушенных зубов. Сделали все быстро и качественно. Теперь это наша семейная стоматология. Здоровья вам и успехов!",15 марта 2021,5
164,Полина,"В свое время не лечила зубы по определенным причинам. Когда уже заболело сильно, решила, что пора заняться здоровьем! В Ю-КЛИНИК обратилась по совету коллег. Все специалисты профессионалы своего дела. Отношение к лечению зубов поменялось кардинально после визита к вам. Теперь знаю, что это не больно.",15 марта 2021,5
165,Елизавета,"Спасибо Седляровой Елене Николаевне за хорошую работу! Много лет ходим только к ней! Внимательная, аккуратная, настоящий профессионал в своём деле! Спасибо!",15 марта 2021,5
166,Анна,"Невероятно уютная атмосфера, всегда чисто, все вежливые и внимательные. Есть свой магазин ,в котором очень большой выбор паст, зубных нитей и ополаскивателей, очень качественные и красивые щётки на любой вкус и даже для наших дорогих малышей. Всегда покупаем и лечим зубки всей семьёй только здесь.",13 марта 2021,5
167,Лидия,"Спасибо доктору Шарай П.А., очень хороший профессионал. Лечение было безболезненное и комфортное, также очень понятно рассказал, какое лечение ещё требуется и рекомендации по правильному уходу.",13 марта 2021,5
168,Екатерина,"Если бы не ваши врачи, которые профессионально лечат под микроскопом, то пришлось бы удалять мой зуб. Но его вылечили и сейчас он меня совершенно не беспокоит, большое вам спасибо.",12 марта 2021,5
169,Елизавета,"Лучшая клиника, всем рекомендую! Приходить одно удовольствие. Лечат качественно, на все 100%. Спасибо, что есть место, где лечение зубов не приносит страх!",12 марта 2021,5
170,Светлана,"Очень важно, когда к тебе относятся с большим вниманием, именно здесь я почувствовала себя не просто пациентом, а гостем. Меня очень доброжелательно встретили и предложили горячий кофе. Доктору Карпачёву Вячеславу Владимировичи отдельное спасибо. Изначально очень грамотно и понятно меня проконсультировал, после чего залечил мой болезненный зуб и прописал дальнейшее лечение.",12 марта 2021,5
171,Фёдр,"Сделали всё очень быстро и качественно. Был ограничен по времени в этом городе и думал, что придётся уезжать с не залеченными зубами, но спасибо вам, всё успел вовремя. Рекомендую!",12 марта 2021,5
172,Зинаида,"Уйти от вас без улыбки невозможно! В первую очередь очень приятный персонал, все улыбчивые и вежливые. А во вторую очередь это конечно супер результат. Улыбка не сходит с моего лица, спасибо вам большое.",12 марта 2021,5
173,Камила,"Огромную спасибо Шараю Павлу Александровичу! Очень грамотный и доброжелательный доктор. Проходила длительное лечение и ни разу не пожалела, что попала именно к этому стоматологу!",12 марта 2021,5
174,Лариса,"Очень понравился врач Силина Алла Валерьевна! Приводила дочку на лечение молочного зубика. Так хорошо нашла общий язык с моим ребёнком, такая внимательная. Располагает к себе. Буду и в дальнейшем к ней приходить с дочкой на лечение.",12 марта 2021,5
175,Олеся,"Сняла зубные отложения у Ковалевой Светланы Николаевны. Быстро, профессионально, с вниманием к моим проблемам. Буду и в дальнейшем к ним обращаться. Рекомендую всем Ю-клиник",12 марта 2021,5
176,Екатерина,Было экстренное удаление молочного зуба у ребенка. С первых минут доктор Медведев Николай Леонидович расположил ребенка к себе. Комфортно и безболезненно провел удаление. Спасибо большое доктору за профессионализм!,12 марта 2021,5
177,Виктория,"Спасибо Седляровой Елене Николаевне за хорошую работу! Много лет ходим только к ней! Внимательная, аккуратная, настоящий профессионал в своём деле! Спасибо",12 марта 2021,5
178,Григорий,"Остался под хорошим впечатлением! Очень волновался перед имплантацией, оказалось зря! Операция прошла успешно! Установили временную конструкцию, так как импланты устанавливали на место передних зубов. Большое спасибо!",12 марта 2021,5
179,Виктория,"Спасибо за заботу о пациентах! Впервые встречаю такой вежливый и приветливый персонал, профессионалов своего дела! Лучший центр! Рекомендую всем!",12 марта 2021,5
180,Мария,"Замечательный доктор Шарай Павел Александрович. Совершенно не больно залечили сразу два зуба. Очень комфортная и расслабляющая обстановка. Внимательный врач, сразу был расписан процесс лечения. Мне кажется, что в кресле просто лежишь и отдыхаешь.  Спасибо.",11 марта 2021,5
181,Ирина,"Карпачев Вячеслав Владимирович отличный врач! Индивидуальный подход и профессионализм - вылечил сложный зуб, который шел под удаление! И дал рекомендации, которые в дальнейшем буду соблюдать.",11 марта 2021,5
182,Екатерина,"Уже второй раз делаю проф.гигиену пескоструйным аппаратом  Air Flow. Очень довольна, быстро, аккуратно, чисто. По ощущениям намного лучше обычной гигиены и совсем безболезненно. Врач Ковалева Светлана Николаевна очень внимательная, аккуратная, все рассказывает, показывает. Дает рекомендации на будущее. Рекомендую!",11 марта 2021,5
183,Галина,Выражаю благодарность за качественно проведенную профгигиену полости рта. Процедура была комфортной и безболезненной. Спасибо Ю-клиник! Вы лучшие!,11 марта 2021,5
184,Виктория,"Доктор Медведев Николай Леонидович - врач с большой буквы! Удалили мне мои зубы мудрости ,за которые никто не хотел браться из-за сложности. Но вы мне помогли и спасли от вечного дискомфорта и боли. Очень благодарен клинике, что набираете настоящих профессионалов!",11 марта 2021,5
185,Анна,"Спасибо за вашу помощь моим зубам. Уже не первый год с вами и являюсь постоянным клиентом, всегда очень тепло встречаете и качественно лечите. Спасибо!!!",11 марта 2021,5
186,эвелина,"Наблюдаюсь у вас уже не один год, очень все нравится: врачи внимательные, администраторы вежливые. Очень рада что попала именно к вам. Всем друзьям советую.",11 марта 2021,5
187,Елизавета,"Как же у вас всё красиво, находится было очень приятно. Администраторы очень улыбчивые и приятные в общении. Врач Шарай Павел Александрович, так же был очень приятен в общении, всё подробно рассказал и расписал дальнейшее лечение.  Осталась очень довольна после лечения.",10 марта 2021,5
188,Виктория,"Как всегда на высоте. Спасибо большое Силиной Алле Валерьевне, мои детки совсем не боятся лечить у неё свои зубки. Идут к ней как на праздник,вот это настоящий профессионализм, спасибо!!",10 марта 2021,5
189,Ева,"Спасибо доктору Поддубной О.В. Спасла мои каналы с помощью новейших технологий, МИКРОСКОПА. Очень благодарна руководству клиники, что не стоите на месте, идёте в ногу со временем и закупаете самое лучшее оборудование для своих пациентов, а так же обучаете своих врачей, что они с каждым годом только повышают свои квалификации!",10 марта 2021,5
190,Кира,"Только здесь поняла, что не так уж и боюсь лечить зубы. Невероятно хорошее отношение к клиентам, не нужно искать кабинеты, тебя провожают прямо к доктору. Сам же врач, Силина Алла Валерьевна, очень приветливая, располагает к себе, что даже ребёнок не боится лечить зубы.Больше вам спасибо, за ваш профессионализм!",10 марта 2021,5
191,Елена,"Спасибо доктору Медведеву Н.Л. Ещё как три месяца назад установил импланты, все прижились ,дискомфорта не вызывало ничего после операции, а уже вчера лучший специалист - Юрковец А.Н. установил мне коронки. Очень довольна качеством и результатом!",10 марта 2021,5
192,Светлана,"Невероятная клиника! Очень отзывчивый и вежливый персонал , очень тёплая и уютная атмосфера. Спасибо доктору, что очень подробно проконсультировал, всё понятно и даже пропал страх перед удалением.",10 марта 2021,5
193,Александр,Огромная благодарность Медведеву Николаю Леонидовичу за профессиональную работу и за подробную и понятную консультацию по имплантации зубов!,10 марта 2021,5
194,Ксения,Благодарность специалисту-ортопеду Александру Николаевичу Юрковец! Бабушка устанавливала коронку у Александр Николаевича. Бабушка очень признательна за особо внимательное отношение и желает Вам крепкого здоровья!,10 марта 2021,5
195,Инна,"Отличная стоматология Ю-клиник, всё понравилось. Квалифицированные специалисты. Доброжелательное отношение. Индивидуальный подход.",10 марта 2021,5
196,Николай,"Спасибо за оказанную помощь! На месте сделали снимок, врач установил причину моего беспокойства и оказал стоматологическое лечение. Большое спасибо! Качеством доволен!",10 марта 2021,5
197,Анастасия,"Не думала, что уже можно помочь моим зубам, но вы смогли!! Спасибо доктору Тен Кристине Сергеевне, моя улыбка теперь превосходна. Устанавливала несколько коронок одновременно, за несколько посещений уже всё готово.",10 марта 2021,5
198,Юлия,"Хочу выразить благодарность всем сотрудникам Ю -клиник. Все супер, начиная с вежливого администратора. Чистота, красота, всегда все вовремя и без задержек. Доктора тоже чудесные. ставила пломбы и делала чистку, все на высоком уровне!",9 марта 2021,5
199,Юлия,"После очередного визита в стоматологический центр Ю- клиник не могу не написать слова благодарности доктору Силиной Алле Валерьевне. Хожу к этому замечательному специалисту в течение нескольких лет, ни разу не вышла из ее кабинета с отрицательными эмоциями. Внимательная, дружелюбная, всегда улыбчивая, вежливая! Настоящий профессионал своего дела: все делает быстро, легко, чувствует, когда пациенту может быть несколько больно и сразу выбирает нужные слова для поддержки! Спасибо огромное!",9 марта 2021,5
200,Антонина,Спасибо большое врачу стоматологу Карпачеву Вячеславу Владимировичу за идеальную работу! У вас просто золотые руки!!!!,9 марта 2021,5
201,Григорий,"Обратился в ю-клиник по- поводу установки имплантата. На консультации сделали снимок, определились со специалистом на системе и записался на операцию. Все прошло хорошо, болевых ощущений не возникало. Остался очень доволен! После приживления установили циркониевые коронки. Очень натурально вышло. Спасибо!",9 марта 2021,5
202,Иван,Спасибо вашим докторам и мед. Персоналу за качественную и организованную работу! Будем теперь у вас постоянными клиентами.,9 марта 2021,5
203,Анастасия,"Были с сыном на консультации у ортодонта. Очень приятная, внимательная девушка. Все рассказала, показала, объяснила как все будет проходить. Ждем брекет-систему и будем устанавливать!)",9 марта 2021,5
